"Code" "Provincia" "Valor"
"1" "AR-A" "Salta" 1
"2" "AR-B" "Provincia de Buenos Aires" 2
"3" "AR-C" "Capital Federal" 3
"4" "AR-D" "San Luis" 4
"5" "AR-E" "Entre Ríos" 5
"6" "AR-F" "La Rioja" 6
"7" "AR-G" "Santiago del Estero" 7
"8" "AR-H" "Chaco" 8
"9" "AR-J" "San Juan" 9
"10" "AR-K" "Catamarca" 10
"11" "AR-L" "La Pampa" 11
"12" "AR-M" "Mendoza" 12
"13" "AR-N" "Misiones" 13
"14" "AR-P" "Formosa" 14
"15" "AR-Q" "Neuquén" 15
"16" "AR-R" "Río Negro" 16
"17" "AR-S" "Santa Fe" 17
"18" "AR-T" "Tucumán" 18
"19" "AR-U" "Chubut" 19
"20" "AR-V" "Tierra del Fuego" 20
"21" "AR-W" "Corrientes" 21
"22" "AR-X" "Córdoba" 22
"23" "AR-Y" "Jujuy" 23
"24" "AR-Z" "Santa Cruz" 24
